1,2012-08-18 23:02:25+00,Starbucks,31436752
2,2012-08-18 23:02:25+00,Oracle,192661
3,2012-08-18 23:02:34+00,Starbucks,31436752
4,2012-08-18 23:02:34+00,Oracle,192661
5,2012-08-18 23:02:48+00,Starbucks,31436751
6,2012-08-18 23:02:48+00,Oracle,192661
7,2012-08-18 23:02:54+00,Starbucks,31436751
8,2012-08-18 23:02:55+00,Oracle,192661
9,2012-08-18 23:06:18+00,Starbucks,31436758
10,2012-08-18 23:06:18+00,Oracle,192661
11,2012-08-18 23:06:23+00,Starbucks,31436757
12,2012-08-18 23:06:23+00,Oracle,192661
13,2012-08-18 23:15:23+00,Starbucks,31436784
14,2012-08-18 23:15:23+00,Oracle,192661
15,2012-08-18 23:25:21+00,Starbucks,31436817
16,2012-08-18 23:25:22+00,Oracle,192662
17,2012-08-18 23:35:25+00,Starbucks,31436853
18,2012-08-18 23:35:26+00,Oracle,192664
19,2012-08-18 23:45:26+00,Starbucks,31436902
20,2012-08-18 23:45:27+00,Oracle,192666
21,2012-08-18 23:55:23+00,Starbucks,31436926
22,2012-08-18 23:55:23+00,Oracle,192666
23,2012-08-19 00:05:19+00,Starbucks,31436965
24,2012-08-19 00:05:20+00,Oracle,192668
25,2012-08-19 00:15:27+00,Starbucks,31437004
26,2012-08-19 00:15:28+00,Oracle,192668
27,2012-08-19 00:25:26+00,Starbucks,31437054
28,2012-08-19 00:25:26+00,Oracle,192668
29,2012-08-19 00:35:23+00,Starbucks,31437110
30,2012-08-19 00:35:23+00,Oracle,192669
31,2012-08-19 00:45:25+00,Starbucks,31437157
32,2012-08-19 00:45:25+00,Oracle,192670
33,2012-08-19 00:55:24+00,Starbucks,31437224
34,2012-08-19 00:55:25+00,Oracle,192670
35,2012-08-19 01:05:25+00,Starbucks,31437276
36,2012-08-19 01:05:27+00,Oracle,192671
37,2012-08-19 01:15:23+00,Starbucks,31437320
38,2012-08-19 01:15:23+00,Oracle,192672
39,2012-08-19 01:25:25+00,Starbucks,31437380
40,2012-08-19 01:25:25+00,Oracle,192672
41,2012-08-19 01:35:26+00,Starbucks,31437435
42,2012-08-19 01:35:26+00,Oracle,192672
43,2012-08-19 01:45:20+00,Starbucks,31437490
44,2012-08-19 01:45:21+00,Oracle,192672
45,2012-08-19 01:55:23+00,Starbucks,31437533
46,2012-08-19 01:55:24+00,Oracle,192674
47,2012-08-19 02:05:20+00,Starbucks,31437589
48,2012-08-19 02:05:21+00,Oracle,192674
49,2012-08-19 02:15:18+00,Starbucks,31437630
50,2012-08-19 02:15:19+00,Oracle,192675
51,2012-08-19 02:25:20+00,Starbucks,31437666
52,2012-08-19 02:25:20+00,Oracle,192675
